id	effectiveTime	active	moduleId	sourceId	destinationId	relationshipGroup	typeId	characteristicTypeId	modifierId
1011000003024		1	900000000000207008	118171006	762705008	0	116680003	900000000000011006	900000000000451002
1021000003026		1	900000000000207008	407415005	77622001	0	116680003	900000000000011006	900000000000451002
1031000003029		1	900000000000207008	364142000	363787002	0	116680003	900000000000011006	900000000000451002
1041000003020		1	900000000000207008	91771000	113343008	0	116680003	900000000000011006	900000000000451002
1051000003023		1	900000000000207008	370137002	370136006	0	116680003	900000000000011006	900000000000451002
1061000003021		1	900000000000207008	102627005	247348008	0	116680003	900000000000011006	900000000000451002
1071000003027		1	900000000000207008	102627005	249565005	0	116680003	900000000000011006	900000000000451002
1081000003025		1	900000000000207008	102627005	10200004	1	363698007	900000000000011006	900000000000451002
1091000003028		1	900000000000207008	102627005	113011001	1	418775008	900000000000011006	900000000000451002
1101000003023		1	900000000000207008	870428003	127325009	0	116680003	900000000000011006	900000000000451002
1111000003020		1	900000000000207008	870428003	235856003	0	116680003	900000000000011006	900000000000451002
1121000003027		1	900000000000207008	870428003	233022006	1	255234002	900000000000011006	900000000000451002
1131000003025		1	900000000000207008	870428003	10200004	2	363698007	900000000000011006	900000000000451002
1141000003021		1	900000000000207008	773760007	272379006	0	116680003	900000000000011006	900000000000451002
1151000003024		1	900000000000207008	1255426000	118292001	0	116680003	900000000000011006	900000000000451002
1161000003022		1	900000000000207008	1255426000	441802002	0	116680003	900000000000011006	900000000000451002
1171000003028		1	900000000000207008	1255426000	103388001	1	260507000	900000000000011006	900000000000451002
1181000003026		1	900000000000207008	1255426000	129289008	1	260686004	900000000000011006	900000000000451002
1191000003029		1	900000000000207008	1255426000	10200004	1	405814001	900000000000011006	900000000000451002
1201000003027		1	900000000000207008	1255426000	360037004	2	260686004	900000000000011006	900000000000451002
1211000003025		1	900000000000207008	1255426000	429892002	2	363703001	900000000000011006	900000000000451002
1221000003023		1	900000000000207008	1255426000	10200004	2	405813007	900000000000011006	900000000000451002
1231000003020		1	900000000000207008	277958008	279930008	0	116680003	900000000000011006	900000000000451002
1241000003029		1	900000000000207008	9326001	80006005	0	116680003	900000000000011006	900000000000451002
1251000003026		1	900000000000207008	363681007	198609003	0	116680003	900000000000011006	900000000000451002
1261000003028		1	900000000000207008	13644009	127325009	0	116680003	900000000000011006	900000000000451002
